stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas,code,date,date_str,stck_clpr_float,stck_oprc_float,stck_hgpr_float,stck_lwpr_float,acml_vol_float,daily_ret
20230102,27547,27777,27931,27519,6010002,166391373975,00,0.00,N,5,-163,,069500,2023-01-02,2023-01-02,27547.0,27777.0,27931.0,27519.0,6010002.0,
20230103,27547,27580,27664,27032,9890361,271108050450,00,0.00,N,3,0,,069500,2023-01-03,2023-01-03,27547.0,27580.0,27664.0,27032.0,9890361.0,0.0
20230104,28128,27393,28193,27379,8647186,242215858510,00,0.00,N,2,580,,069500,2023-01-04,2023-01-04,28128.0,27393.0,28193.0,27379.0,8647186.0,0.021091225904817268
20230105,28353,28287,28488,28133,8695869,246413861600,00,0.00,N,2,224,,069500,2023-01-05,2023-01-05,28353.0,28287.0,28488.0,28133.0,8695869.0,0.00799914675767921
20230106,28657,28156,28807,28156,7873706,225287089875,00,0.00,N,2,304,,069500,2023-01-06,2023-01-06,28657.0,28156.0,28807.0,28156.0,7873706.0,0.01072196945649484
20230109,29429,28975,29439,28928,8478730,248640469465,00,0.00,N,2,772,,069500,2023-01-09,2023-01-09,29429.0,28975.0,29439.0,28928.0,8478730.0,0.026939316746344755
20230110,29467,29350,29659,29303,8014531,236001253315,00,0.00,N,2,37,,069500,2023-01-10,2023-01-10,29467.0,29350.0,29659.0,29303.0,8014531.0,0.001291243331407843
20230111,29518,29598,29687,29378,6437048,190062303150,00,0.00,N,2,51,,069500,2023-01-11,2023-01-11,29518.0,29598.0,29687.0,29378.0,6437048.0,0.0017307496521532517
20230112,29603,29696,29729,29443,5812303,171905029500,00,0.00,N,2,84,,069500,2023-01-12,2023-01-12,29603.0,29696.0,29729.0,29443.0,5812303.0,0.002879598888813506
20230113,29818,29678,29987,29668,6683395,199473050750,00,0.00,N,2,215,,069500,2023-01-13,2023-01-13,29818.0,29678.0,29987.0,29668.0,6683395.0,0.007262777421207289
20230116,30057,29874,30183,29846,6945133,208778165745,00,0.00,N,2,238,,069500,2023-01-16,2023-01-16,30057.0,29874.0,30183.0,29846.0,6945133.0,0.008015292776175409
20230117,29818,30038,30085,29776,5004323,149500861700,00,0.00,N,5,-238,,069500,2023-01-17,2023-01-17,29818.0,30038.0,30085.0,29776.0,5004323.0,-0.007951558705126871
20230118,29626,29785,29851,29462,6021452,178416388975,00,0.00,N,5,-191,,069500,2023-01-18,2023-01-18,29626.0,29785.0,29851.0,29462.0,6021452.0,-0.006439063652827204
20230119,29809,29467,29813,29467,6028909,179458019060,00,0.00,N,2,182,,069500,2023-01-19,2023-01-19,29809.0,29467.0,29813.0,29467.0,6028909.0,0.006177006683318664
20230120,30005,29781,30015,29696,7245285,217005482680,00,0.00,N,2,196,,069500,2023-01-20,2023-01-20,30005.0,29781.0,30015.0,29696.0,7245285.0,0.006575195410781998
20230125,30478,30427,30572,30385,4737368,144453539025,00,0.00,N,2,472,,069500,2023-01-25,2023-01-25,30478.0,30427.0,30572.0,30385.0,4737368.0,0.015764039326778834
20230126,30900,30506,30932,30431,4043364,124177987450,00,0.00,N,2,421,,069500,2023-01-26,2023-01-26,30900.0,30506.0,30932.0,30431.0,4043364.0,0.013846052890609695
20230127,31143,30965,31344,30843,4392890,136838342730,00,0.00,N,2,243,,069500,2023-01-27,2023-01-27,31143.0,30965.0,31344.0,30843.0,4392890.0,0.007864077669902825
20230130,30650,31157,31242,30641,7377317,226920197545,03,-0.23,N,5,-492,,069500,2023-01-30,2023-01-30,30650.0,31157.0,31242.0,30641.0,7377317.0,-0.015830202613749456
20230131,30176,30650,30707,30139,8323380,252255279610,00,0.00,N,5,-473,,069500,2023-01-31,2023-01-31,30176.0,30650.0,30707.0,30139.0,8323380.0,-0.01546492659053833
20230201,30505,30392,30580,30294,6833761,208176566255,00,0.00,N,2,328,,069500,2023-02-01,2023-02-01,30505.0,30392.0,30580.0,30294.0,6833761.0,0.010902704135737018
20230202,30833,30922,31049,30589,9400369,289890951640,00,0.00,N,2,328,,069500,2023-02-02,2023-02-02,30833.0,30922.0,31049.0,30589.0,9400369.0,0.010752335682674863
20230203,30960,30777,31044,30650,5901562,182510314860,00,0.00,N,2,126,,069500,2023-02-03,2023-02-03,30960.0,30777.0,31044.0,30650.0,5901562.0,0.004118963448253465
20230206,30256,30683,30763,30256,9861655,300306655820,00,0.00,N,5,-703,,069500,2023-02-06,2023-02-06,30256.0,30683.0,30763.0,30256.0,9861655.0,-0.02273901808785528
20230207,30444,30280,30538,30209,5732938,174593240100,00,0.00,N,2,187,,069500,2023-02-07,2023-02-07,30444.0,30280.0,30538.0,30209.0,5732938.0,0.0062136435748281205
20230208,30918,30636,31016,30632,8024739,248098869630,00,0.00,N,2,473,,069500,2023-02-08,2023-02-08,30918.0,30636.0,31016.0,30632.0,8024739.0,0.015569570358691331
20230209,30819,30735,30941,30655,7067953,218092031195,00,0.00,N,5,-98,,069500,2023-02-09,2023-02-09,30819.0,30735.0,30941.0,30655.0,7067953.0,-0.003202018241800886
20230210,30739,30627,30772,30519,8556021,262683391295,00,0.00,N,5,-79,,069500,2023-02-10,2023-02-10,30739.0,30627.0,30772.0,30519.0,8556021.0,-0.002595801291411126
20230213,30556,30580,30664,30350,10880123,332199306660,00,0.00,N,5,-183,,069500,2023-02-13,2023-02-13,30556.0,30580.0,30664.0,30350.0,10880123.0,-0.005953349165555122
20230214,30739,30805,30960,30683,7420834,228539594305,00,0.00,N,2,183,,069500,2023-02-14,2023-02-14,30739.0,30805.0,30960.0,30683.0,7420834.0,0.005989003796308401
20230215,30158,30805,30810,30139,12251223,370850542800,00,0.00,N,5,-581,,069500,2023-02-15,2023-02-15,30158.0,30805.0,30810.0,30139.0,12251223.0,-0.018901070301571288
20230216,30758,30359,30829,30341,7541188,231675915520,00,0.00,N,2,600,,069500,2023-02-16,2023-02-16,30758.0,30359.0,30829.0,30341.0,7541188.0,0.01989521851581677
20230217,30486,30327,30754,30327,7742932,236430563975,00,0.00,N,5,-272,,069500,2023-02-17,2023-02-17,30486.0,30327.0,30754.0,30327.0,7742932.0,-0.008843227778139062
20230220,30589,30519,30693,30219,6487011,198083985175,00,0.00,N,2,103,,069500,2023-02-20,2023-02-20,30589.0,30519.0,30693.0,30219.0,6487011.0,0.003378600013120847
20230221,30547,30585,30669,30397,5772433,176404335280,00,0.00,N,5,-42,,069500,2023-02-21,2023-02-21,30547.0,30585.0,30669.0,30397.0,5772433.0,-0.0013730425970119864
20230222,30017,30181,30280,30003,9107961,273929167270,00,0.00,N,5,-530,,069500,2023-02-22,2023-02-22,30017.0,30181.0,30280.0,30003.0,9107961.0,-0.017350312632991804
20230223,30397,30134,30514,30125,13396637,407324354230,00,0.00,N,2,380,,069500,2023-02-23,2023-02-23,30397.0,30134.0,30514.0,30125.0,13396637.0,0.012659492953992713
20230224,30125,30341,30519,30106,7390084,223414475165,00,0.00,N,5,-272,,069500,2023-02-24,2023-02-24,30125.0,30341.0,30519.0,30106.0,7390084.0,-0.00894825147218481
20230227,29857,29853,29867,29604,12022017,358037921895,00,0.00,N,5,-267,,069500,2023-02-27,2023-02-27,29857.0,29853.0,29867.0,29604.0,12022017.0,-0.008896265560165983
20230228,29942,29965,30200,29857,8317070,249639211667,00,0.00,N,2,84,,069500,2023-02-28,2023-02-28,29942.0,29965.0,30200.0,29857.0,8317070.0,0.0028469035737013204
20230302,30017,29965,30284,29857,10554628,317366582850,00,0.00,N,2,75,,069500,2023-03-02,2023-03-02,30017.0,29965.0,30284.0,29857.0,10554628.0,0.002504842695878695
20230303,30083,30181,30223,29951,7614615,229128691710,00,0.00,N,2,65,,069500,2023-03-03,2023-03-03,30083.0,30181.0,30223.0,29951.0,7614615.0,0.0021987540393777483
20230306,30505,30341,30519,30209,9794968,297605621440,00,0.00,N,2,422,,069500,2023-03-06,2023-03-06,30505.0,30341.0,30519.0,30209.0,9794968.0,0.014027856264335448
20230307,30345,30458,30599,30345,6437355,196008873360,00,0.00,N,5,-159,,069500,2023-03-07,2023-03-07,30345.0,30458.0,30599.0,30345.0,6437355.0,-0.005245041796426819
20230308,29914,30068,30083,29862,11642227,348580091245,00,0.00,N,5,-431,,069500,2023-03-08,2023-03-08,29914.0,30068.0,30083.0,29862.0,11642227.0,-0.01420332839017957
20230309,29820,30031,30101,29820,7168449,214561676990,00,0.00,N,5,-93,,069500,2023-03-09,2023-03-09,29820.0,30031.0,30101.0,29820.0,7168449.0,-0.003142341378618685
20230310,29496,29468,29590,29341,8820957,260037598185,00,0.00,N,5,-323,,069500,2023-03-10,2023-03-10,29496.0,29468.0,29590.0,29341.0,8820957.0,-0.010865191146881337
20230313,29735,29632,29806,29285,9265737,274529441735,00,0.00,N,2,239,,069500,2023-03-13,2023-03-13,29735.0,29632.0,29806.0,29285.0,9265737.0,0.008102793599132019
20230314,29041,29449,29458,29017,13102683,381888297415,00,0.00,N,5,-694,,069500,2023-03-14,2023-03-14,29041.0,29449.0,29458.0,29017.0,13102683.0,-0.023339498907011924
20230315,29407,29336,29590,29261,9015719,265315988630,00,0.00,N,2,366,,069500,2023-03-15,2023-03-15,29407.0,29336.0,29590.0,29261.0,9015719.0,0.01260287180193509
20230316,29299,29106,29383,28956,9051886,265065531080,00,0.00,N,5,-107,,069500,2023-03-16,2023-03-16,29299.0,29106.0,29383.0,28956.0,9051886.0,-0.003672594960383635
20230317,29637,29632,29712,29426,7439784,220449351940,00,0.00,N,2,337,,069500,2023-03-17,2023-03-17,29637.0,29632.0,29712.0,29426.0,7439784.0,0.011536229905457551
20230320,29421,29627,29773,29416,6208086,183212974870,00,0.00,N,5,-215,,069500,2023-03-20,2023-03-20,29421.0,29627.0,29773.0,29416.0,6208086.0,-0.00728818706346801
20230321,29496,29585,29655,29430,6038576,178364728650,00,0.00,N,2,75,,069500,2023-03-21,2023-03-21,29496.0,29585.0,29655.0,29430.0,6038576.0,0.0025491995513409194
20230322,29867,29759,29876,29660,6662744,198662085400,00,0.00,N,2,370,,069500,2023-03-22,2023-03-22,29867.0,29759.0,29876.0,29660.0,6662744.0,0.012577976674803315
20230323,29956,29646,29975,29613,5815969,174028567875,00,0.00,N,2,89,,069500,2023-03-23,2023-03-23,29956.0,29646.0,29975.0,29613.0,5815969.0,0.0029798774567249
20230324,29853,29946,29989,29693,7452907,222500841390,00,0.00,N,5,-103,,069500,2023-03-24,2023-03-24,29853.0,29946.0,29989.0,29693.0,7452907.0,-0.0034383762852183697
20230327,29717,29951,29951,29566,5990299,178093644445,00,0.00,N,5,-136,,069500,2023-03-27,2023-03-27,29717.0,29951.0,29951.0,29566.0,5990299.0,-0.0045556560479683705
20230328,30064,29820,30064,29782,6220845,186680688850,00,0.00,N,2,347,,069500,2023-03-28,2023-03-28,30064.0,29820.0,30064.0,29782.0,6220845.0,0.01167681798297271
20230329,30111,30007,30125,29923,4301720,129433969505,00,0.00,N,2,46,,069500,2023-03-29,2023-03-29,30111.0,30007.0,30125.0,29923.0,4301720.0,0.0015633315593399644
20230330,30322,30294,30434,30153,7935079,240561362970,00,0.00,N,2,211,,069500,2023-03-30,2023-03-30,30322.0,30294.0,30434.0,30153.0,7935079.0,0.007007405931387156
20230331,30678,30430,30739,30383,5481424,168109703055,00,0.00,N,2,356,,069500,2023-03-31,2023-03-31,30678.0,30430.0,30739.0,30383.0,5481424.0,0.01174065035287919
20230403,30524,30768,30768,30477,5819235,177904474455,00,0.00,N,5,-154,,069500,2023-04-03,2023-04-03,30524.0,30768.0,30768.0,30477.0,5819235.0,-0.0050198839559293384
20230404,30664,30552,30763,30510,8512466,261156773550,00,0.00,N,2,140,,069500,2023-04-04,2023-04-04,30664.0,30552.0,30763.0,30510.0,8512466.0,0.0045865548420913616
20230405,30838,30669,30871,30627,6735387,207702281265,00,0.00,N,2,173,,069500,2023-04-05,2023-04-05,30838.0,30669.0,30871.0,30627.0,6735387.0,0.005674406470127735
20230406,30289,30707,30730,30275,7170516,217744763520,00,0.00,N,5,-549,,069500,2023-04-06,2023-04-06,30289.0,30707.0,30730.0,30275.0,7170516.0,-0.017802710941046795
20230407,30805,30510,30861,30510,7019661,216208891320,00,0.00,N,2,516,,069500,2023-04-07,2023-04-07,30805.0,30510.0,30861.0,30510.0,7019661.0,0.017035887615966194
20230410,31101,30786,31246,30749,8643811,268944156455,00,0.00,N,2,295,,069500,2023-04-10,2023-04-10,31101.0,30786.0,31246.0,30749.0,8643811.0,0.009608829735432645
20230411,31509,31190,31589,31162,5863310,184490628720,00,0.00,N,2,408,,069500,2023-04-11,2023-04-11,31509.0,31190.0,31589.0,31162.0,5863310.0,0.013118549242789657
20230412,31608,31476,31697,31434,5432288,171773133540,00,0.00,N,2,98,,069500,2023-04-12,2023-04-12,31608.0,31476.0,31697.0,31434.0,5432288.0,0.003141959440160047
20230413,31669,31453,31701,31387,6498593,205691680915,00,0.00,N,2,61,,069500,2023-04-13,2023-04-13,31669.0,31453.0,31701.0,31387.0,6498593.0,0.0019298911667933183
20230414,31781,31861,31992,31683,7025963,223558624285,00,0.00,N,2,112,,069500,2023-04-14,2023-04-14,31781.0,31861.0,31992.0,31683.0,7025963.0,0.003536581515046322
20230417,31791,31767,31833,31640,5631982,178911176105,00,0.00,N,2,9,,069500,2023-04-17,2023-04-17,31791.0,31767.0,31833.0,31640.0,5631982.0,0.0003146534092697273
20230418,31744,31814,31856,31547,7771507,246706230914,00,0.00,N,5,-46,,069500,2023-04-18,2023-04-18,31744.0,31814.0,31856.0,31547.0,7771507.0,-0.0014784058381303034
20230419,31767,31730,31889,31701,6114626,194445699335,00,0.00,N,2,23,,069500,2023-04-19,2023-04-19,31767.0,31730.0,31889.0,31701.0,6114626.0,0.0007245463709677491
20230420,31673,31659,31762,31556,6644003,210569402675,00,0.00,N,5,-93,,069500,2023-04-20,2023-04-20,31673.0,31659.0,31762.0,31556.0,6644003.0,-0.00295904555041393
20230421,31514,31603,31664,31401,5236862,165155766465,00,0.00,N,5,-159,,069500,2023-04-21,2023-04-21,31514.0,31603.0,31664.0,31401.0,5236862.0,-0.005020048621854567
20230424,31298,31410,31457,31274,5245028,164532449595,00,0.00,N,5,-215,,069500,2023-04-24,2023-04-24,31298.0,31410.0,31457.0,31274.0,5245028.0,-0.006854096591990877
20230425,30904,31373,31415,30749,3534921,109786612955,00,0.00,N,5,-394,,069500,2023-04-25,2023-04-25,30904.0,31373.0,31415.0,30749.0,3534921.0,-0.012588663812384215
20230426,30871,30880,31012,30810,2685249,82995885300,00,0.00,N,5,-32,,069500,2023-04-26,2023-04-26,30871.0,30880.0,31012.0,30810.0,2685249.0,-0.0010678229355423063
20230427,30975,30890,30995,30595,6859437,212123201055,03,-1.35,N,2,104,,069500,2023-04-27,2023-04-27,30975.0,30890.0,30995.0,30595.0,6859437.0,0.003368857503806222
20230428,31037,31142,31294,30909,9888077,307289146117,00,0.00,N,2,61,,069500,2023-04-28,2023-04-28,31037.0,31142.0,31294.0,30909.0,9888077.0,0.0020016142050041097
20230502,31375,31128,31375,31085,6985966,218904219825,00,0.00,N,2,337,,069500,2023-05-02,2023-05-02,31375.0,31128.0,31375.0,31085.0,6985966.0,0.0108902277926346
20230503,31094,31132,31223,31033,6908514,214928355865,00,0.00,N,5,-280,,069500,2023-05-03,2023-05-03,31094.0,31132.0,31223.0,31033.0,6908514.0,-0.00895617529880477
20230504,30975,30971,31061,30876,7670544,238062851860,00,0.00,N,5,-118,,069500,2023-05-04,2023-05-04,30975.0,30971.0,31061.0,30876.0,7670544.0,-0.003827104907699219
20230508,31366,31318,31461,31275,6881902,215955015275,00,0.00,N,2,390,,069500,2023-05-08,2023-05-08,31366.0,31318.0,31461.0,31275.0,6881902.0,0.012623083131557689
20230509,31270,31308,31323,31166,4777567,149393290740,00,0.00,N,5,-95,,069500,2023-05-09,2023-05-09,31270.0,31308.0,31323.0,31166.0,4777567.0,-0.0030606389083721597
20230510,31075,31261,31261,30952,6745605,209824543790,00,0.00,N,5,-195,,069500,2023-05-10,2023-05-10,31075.0,31261.0,31261.0,30952.0,6745605.0,-0.006236008954269234
20230511,30990,31185,31294,30990,5360069,166643617680,00,0.00,N,5,-85,,069500,2023-05-11,2023-05-11,30990.0,31185.0,31294.0,30990.0,5360069.0,-0.0027353177795655936
20230512,30842,30876,30995,30780,6552023,202265627220,00,0.00,N,5,-147,,069500,2023-05-12,2023-05-12,30842.0,30876.0,30995.0,30780.0,6552023.0,-0.004775734107776652
20230515,30928,30776,30928,30652,7224422,223184667430,00,0.00,N,2,85,,069500,2023-05-15,2023-05-15,30928.0,30776.0,30928.0,30652.0,7224422.0,0.0027884054211788634
20230516,31014,31128,31237,30952,5951103,184799898765,00,0.00,N,2,85,,069500,2023-05-16,2023-05-16,31014.0,31128.0,31237.0,30952.0,5951103.0,0.002780651836523429
20230517,31113,30956,31209,30947,4224788,131544581365,00,0.00,N,2,99,,069500,2023-05-17,2023-05-17,31113.0,30956.0,31209.0,30947.0,4224788.0,0.0031921067904816525
20230518,31413,31304,31432,31218,5196938,163261974235,00,0.00,N,2,299,,069500,2023-05-18,2023-05-18,31413.0,31304.0,31432.0,31218.0,5196938.0,0.009642271719217055
20230519,31855,31641,31875,31641,5478140,174403754495,00,0.00,N,2,442,,069500,2023-05-19,2023-05-19,31855.0,31641.0,31875.0,31641.0,5478140.0,0.014070607710183758
20230522,32060,31855,32193,31798,4159924,133445816025,00,0.00,N,2,204,,069500,2023-05-22,2023-05-22,32060.0,31855.0,32193.0,31798.0,4159924.0,0.006435410453617951
20230523,32155,32169,32269,32074,5291987,170235907845,00,0.00,N,2,95,,069500,2023-05-23,2023-05-23,32155.0,32169.0,32269.0,32074.0,5291987.0,0.002963194011228909
20230524,32036,31965,32165,31955,4799672,153948583920,00,0.00,N,5,-118,,069500,2023-05-24,2023-05-24,32036.0,31965.0,32165.0,31955.0,4799672.0,-0.0037008241331052405
20230525,32008,32193,32217,31932,5528581,177011106975,00,0.00,N,5,-28,,069500,2023-05-25,2023-05-25,32008.0,32193.0,32217.0,31932.0,5528581.0,-0.0008740167311773739
20230526,32117,32060,32217,31998,6271113,201561072485,00,0.00,N,2,109,,069500,2023-05-26,2023-05-26,32117.0,32060.0,32217.0,31998.0,6271113.0,0.00340539865033751
20230530,32550,32441,32559,32374,4312856,140238958950,00,0.00,N,2,432,,069500,2023-05-30,2023-05-30,32550.0,32441.0,32559.0,32374.0,4312856.0,0.013481956596195221
20230531,32317,32507,32631,32317,5926744,191932468060,00,0.00,N,5,-233,,069500,2023-05-31,2023-05-31,32317.0,32507.0,32631.0,32317.0,5926744.0,-0.00715821812596007
20230601,32212,32274,32364,32136,5039523,162480109680,00,0.00,N,5,-104,,069500,2023-06-01,2023-06-01,32212.0,32274.0,32364.0,32136.0,5039523.0,-0.0032490639601447935
20230602,32626,32422,32626,32393,6405857,208791165960,00,0.00,N,2,413,,069500,2023-06-02,2023-06-02,32626.0,32422.0,32626.0,32393.0,6405857.0,0.012852353160312857
20230605,32721,32821,32835,32674,4455077,145941410345,00,0.00,N,2,95,,069500,2023-06-05,2023-06-05,32721.0,32821.0,32835.0,32674.0,4455077.0,0.0029117881444247207
20230607,32650,32816,32897,32650,2988956,97982658610,00,0.00,N,5,-71,,069500,2023-06-07,2023-06-07,32650.0,32816.0,32897.0,32650.0,2988956.0,-0.0021698603343418554
20230608,32607,32550,32631,32441,4201048,136959745470,00,0.00,N,5,-42,,069500,2023-06-08,2023-06-08,32607.0,32550.0,32631.0,32441.0,4201048.0,-0.001316998468606445
20230609,33040,32774,33087,32669,5035715,165964378170,00,0.00,N,2,432,,069500,2023-06-09,2023-06-09,33040.0,32774.0,33087.0,32669.0,5035715.0,0.013279357193240804
20230612,32826,33116,33159,32745,6512626,214032077620,00,0.00,N,5,-214,,069500,2023-06-12,2023-06-12,32826.0,33116.0,33159.0,32745.0,6512626.0,-0.006476997578692467
20230613,32983,33016,33092,32892,7221960,238409183565,00,0.00,N,2,156,,069500,2023-06-13,2023-06-13,32983.0,33016.0,33092.0,32892.0,7221960.0,0.004782794126606982
20230614,32821,32983,33021,32759,6518082,214201241090,00,0.00,N,5,-161,,069500,2023-06-14,2023-06-14,32821.0,32983.0,33021.0,32759.0,6518082.0,-0.0049116211381621255
20230615,32707,32902,33011,32669,6073161,198922040465,00,0.00,N,5,-114,,069500,2023-06-15,2023-06-15,32707.0,32902.0,33011.0,32669.0,6073161.0,-0.003473385941927476
20230616,32864,32873,32892,32678,6007181,197294200570,00,0.00,N,2,156,,069500,2023-06-16,2023-06-16,32864.0,32873.0,32892.0,32678.0,6007181.0,0.004800195676766483
20230619,32683,32769,32812,32593,3861276,126262554745,00,0.00,N,5,-180,,069500,2023-06-19,2023-06-19,32683.0,32769.0,32812.0,32593.0,3861276.0,-0.005507546251217188
20230620,32626,32593,32669,32493,4939521,161212215545,00,0.00,N,5,-57,,069500,2023-06-20,2023-06-20,32626.0,32593.0,32669.0,32493.0,4939521.0,-0.0017440259462105923
20230621,32322,32564,32569,32307,5044651,163365784355,00,0.00,N,5,-304,,069500,2023-06-21,2023-06-21,32322.0,32564.0,32569.0,32307.0,5044651.0,-0.009317722062158973
20230622,32403,32260,32517,32246,3254909,105658854620,00,0.00,N,2,80,,069500,2023-06-22,2023-06-22,32403.0,32260.0,32517.0,32246.0,3254909.0,0.0025060330425097366
20230623,32246,32531,32559,32207,6586473,212726769145,00,0.00,N,5,-156,,069500,2023-06-23,2023-06-23,32246.0,32531.0,32559.0,32207.0,6586473.0,-0.004845230379903143
20230626,32407,32193,32441,32160,3760690,121934159545,00,0.00,N,2,161,,069500,2023-06-26,2023-06-26,32407.0,32193.0,32441.0,32160.0,3760690.0,0.004992867332382245
20230627,32393,32345,32412,32236,4514244,146190051100,00,0.00,N,5,-14,,069500,2023-06-27,2023-06-27,32393.0,32345.0,32412.0,32236.0,4514244.0,-0.00043200543092536403
20230628,32217,32512,32512,32160,5369056,173228518465,00,0.00,N,5,-175,,069500,2023-06-28,2023-06-28,32217.0,32512.0,32512.0,32160.0,5369056.0,-0.005433272620627871
20230629,32212,32312,32512,32212,4602065,148512609895,00,0.00,N,5,-4,,069500,2023-06-29,2023-06-29,32212.0,32312.0,32512.0,32212.0,4602065.0,-0.0001551975665021743
20230630,32307,32222,32393,31984,5669646,182958850630,00,0.00,N,2,95,,069500,2023-06-30,2023-06-30,32307.0,32222.0,32393.0,31984.0,5669646.0,0.0029492114739848585
20230703,32812,32426,32835,32426,4041909,132412888480,00,0.00,N,2,504,,069500,2023-07-03,2023-07-03,32812.0,32426.0,32835.0,32426.0,4041909.0,0.01563128733710961
