stck_bsop_date,bstp_nmix_prpr,bstp_nmix_oprc,bstp_nmix_hgpr,bstp_nmix_lwpr,acml_vol,acml_tr_pbmn,mod_yn,code,date,stck_clpr_float,daily_ret
20230118,311.91,313.62,314.14,310.11,93052,4402572,N,2001,2023-01-18,311.91,
20230119,313.81,310.08,313.81,310.04,86250,4301695,N,2001,2023-01-19,313.81,0.006091500753422352
20230120,315.58,313.99,315.76,312.59,78973,3966953,N,2001,2023-01-20,315.58,0.005640355629202398
20230125,320.76,320.81,321.48,319.75,97521,5108214,N,2001,2023-01-25,320.76,0.01641422143355098
20230126,325.57,321.82,325.57,320.49,117869,6422774,N,2001,2023-01-26,325.57,0.014995635366005677
20230127,327.98,326.22,329.71,324.98,156158,7350304,N,2001,2023-01-27,327.98,0.00740240194121089
20230130,322.67,328.09,328.97,322.35,141804,7646893,N,2001,2023-01-30,322.67,-0.01619001158607236
20230131,317.26,322.71,323.26,317.09,194663,8634519,N,2001,2023-01-31,317.26,-0.01676635571946583
20230201,321.19,320.54,321.64,318.61,140522,6544556,N,2001,2023-02-01,321.19,0.012387316396646364
20230202,323.93,325.94,326.73,321.97,152767,7307002,N,2001,2023-02-02,323.93,0.0085307761760951
20230203,325.86,323.58,326.49,322.39,122862,6514550,N,2001,2023-02-03,325.86,0.005958077362393066
20230206,318.83,322.90,323.71,318.82,115869,5563997,N,2001,2023-02-06,318.83,-0.021573681949303425
20230207,320.55,319.36,321.45,318.20,113209,5635318,N,2001,2023-02-07,320.55,0.0053947244613117284
20230208,325.63,323.27,326.43,322.81,121204,6160316,N,2001,2023-02-08,325.63,0.01584776165964752
20230209,324.90,323.71,325.80,322.83,131430,6925196,N,2001,2023-02-09,324.9,-0.002241808187206429
20230210,323.69,323.30,324.18,321.62,125806,6354241,N,2001,2023-02-10,323.69,-0.003724222837796165
20230213,321.75,322.66,323.04,319.78,121922,5641841,N,2001,2023-02-13,321.75,-0.005993388736136418
20230214,323.47,324.50,325.80,322.83,103204,5258820,N,2001,2023-02-14,323.47,0.005345765345765363
20230215,317.99,324.43,324.54,317.41,136827,6976490,N,2001,2023-02-15,317.99,-0.0169412928555972
20230216,324.10,320.00,324.35,319.63,133653,6873868,N,2001,2023-02-16,324.1,0.019214440705682678
20230217,320.78,320.15,323.67,320.01,119733,5815930,N,2001,2023-02-17,320.78,-0.01024375192841731
20230220,321.79,321.07,322.97,318.15,113034,5639846,N,2001,2023-02-20,321.79,0.0031485753475903877
20230221,321.56,322.16,322.88,320.02,117781,5195077,N,2001,2023-02-21,321.56,-0.0007147518568010325
20230222,315.94,317.94,318.74,315.83,131261,5930930,N,2001,2023-02-22,315.94,-0.017477298171414413
20230223,319.44,317.77,321.13,317.09,144600,5656010,N,2001,2023-02-23,319.44,0.011078052794834425
