short_code,std_code,name
52L225,KRA521103F49,미래L225삼성전자콜
52L226,KRA521104F48,미래L226삼성전자콜
52L245,KRA521123F45,미래L245셀트리온콜
52L262,KRA521140F44,미래L262네이버콜
52L327,KRA521108F51,미래L327삼성전자콜
52L339,KRA521120F55,미래L339삼성SDI콜
52L346,KRA521127F58,미래L346카카오콜
52L352,KRA521133F50,미래L352POSCO홀콜
52L353,KRA521134F59,미래L353POSCO홀콜
52L359,KRA521140F51,미래L359엘지전자콜
52L364,KRA521145F56,미래L364현대차콜
52L365,KRA521146F55,미래L365현대차콜
52L371,KRA521152F56,미래L371네이버콜
52L376,KRA521157F51,미래L376셀트리온콜
52L381,KRA521162F54,미래L381LG에너지콜
52L386,KRA521167F59,미래L386하이브콜
52L389,KRA521170F54,미래L389포스코퓨콜
52L394,KRA521175F59,미래L394기아콜
52L395,KRA521176F58,미래L395기아콜
52L401,KRA521182F50,미래L401한국조선콜
52L406,KRA521187F55,미래L406LG화학콜
52L409,KRA521190F50,미래L409두산에너콜
52L412,KRA521193F57,미래L412삼성전기콜
52L415,KRA521196F54,미래L415모비스콜
52L418,KRA521199F51,미래L418SK이노콜
52L422,KRA5211A3F56,미래L422바스켓콜
52L432,KRA521102F65,미래L432삼성전자콜
52L433,KRA521103F64,미래L433삼성전자콜
52L434,KRA521204F62,미래L434삼성전자풋
52L436,KRA521206F60,미래L436SK하이닉풋
52L442,KRA521112F63,미래L442네이버콜
52L443,KRA521113F62,미래L443네이버콜
52L447,KRA521117F68,미래L447POSCO홀콜
52L448,KRA521118F67,미래L448POSCO홀콜
52L454,KRA521124F69,미래L454LG화학콜
52L462,KRA521132F69,미래L462LG에너지콜
52L464,KRA521134F67,미래L464현대차콜
52L469,KRA521139F62,미래L469모비스콜
52L471,KRA521241F67,미래L471한국조선풋
52L473,KRA521243F65,미래L473두산에너풋
52L484,KRA521104F71,미래L484삼성전자콜
52L485,KRA521105F70,미래L485삼성전자콜
52L488,KRA521208F76,미래L488삼성전자풋
52L489,KRA521209F75,미래L489삼성전자풋
52L497,KRA521117F76,미래L497엘지전자콜
52L499,KRA521119F74,미래L499LG에너지콜
52L502,KRA521122F79,미래L502기아콜
52L504,KRA521124F77,미래L504SK하이닉콜
52L507,KRA521227F73,미래L507SK하이닉풋
52L508,KRA521228F72,미래L508SK하이닉풋
52L511,KRA521231F77,미래L511카카오풋
52L514,KRA521134F75,미래L514하이브콜
52L515,KRA521135F74,미래L515하이브콜
52L519,KRA521139F70,미래L519삼성전기콜
52L521,KRA521141F76,미래L521크래프톤콜
52L527,KRA521147F70,미래L527한국조선콜
52L530,KRA521150F74,미래L530한화솔루콜
52L533,KRA521153F71,미래L533한국항공콜
52L538,KRA521158F76,미래L538한화에어콜
52L539,KRA521159F75,미래L539한화에어콜
52L540,KRA521160F72,미래L540한화에어콜
52L542,KRA521162F70,미래L542고려아연콜
52L545,KRA521103F80,미래L545삼성전자콜
52L546,KRA521104F89,미래L546삼성전자콜
52L547,KRA521105F88,미래L547삼성전자콜
52L548,KRA521106F87,미래L548삼성전자콜
52L549,KRA521107F86,미래L549삼성전자콜
52L550,KRA521108F85,미래L550삼성전자콜
52L551,KRA521109F84,미래L551삼성전자콜
52L552,KRA521210F80,미래L552삼성전자풋
52L555,KRA521113F88,미래L555POSCO홀콜
52L556,KRA521114F87,미래L556POSCO홀콜
52L557,KRA521115F86,미래L557POSCO홀콜
52L558,KRA521116F85,미래L558POSCO홀콜
52L560,KRA521118F83,미래L560네이버콜
52L561,KRA521119F82,미래L561네이버콜
52L562,KRA521120F89,미래L562네이버콜
52L563,KRA521121F88,미래L563네이버콜
52L564,KRA521122F87,미래L564네이버콜
52L565,KRA521123F86,미래L565삼성SDI콜
52L568,KRA521126F83,미래L568HMM콜
52L569,KRA521127F82,미래L569HMM콜
52L570,KRA521128F81,미래L570하이브콜
52L571,KRA521129F80,미래L571하이브콜
52L572,KRA521130F87,미래L572하이브콜
52L573,KRA521131F86,미래L573하이브콜
52L575,KRA521133F84,미래L575현대차콜
52L576,KRA521134F83,미래L576현대차콜
52L577,KRA521135F82,미래L577현대차콜
52L578,KRA521136F81,미래L578현대차콜
52L579,KRA521137F80,미래L579현대차콜
52L580,KRA521138F89,미래L580기아콜
52L581,KRA521139F88,미래L581기아콜
52L582,KRA521140F85,미래L582기아콜
52L585,KRA521143F82,미래L585셀트리온콜
52L586,KRA521144F81,미래L586셀트리온콜
52L588,KRA521146F89,미래L588SK이노콜
52L589,KRA521147F88,미래L589SK이노콜
52L590,KRA521148F87,미래L590SK이노콜
52L591,KRA521149F86,미래L591SK이노콜
52L594,KRA521152F80,미래L594SK하이닉콜
52L595,KRA521153F89,미래L595SK하이닉콜
52L596,KRA521154F88,미래L596SK하이닉콜
52L597,KRA521155F87,미래L597SK하이닉콜
52L598,KRA521156F86,미래L598SK하이닉콜
52L600,KRA521158F84,미래L600모비스콜
52L601,KRA521159F83,미래L601모비스콜
52L602,KRA521160F80,미래L602모비스콜
52L603,KRA521161F89,미래L603신한지주콜
52L604,KRA521162F88,미래L604신한지주콜
52L605,KRA521163F87,미래L605SK텔레콤콜
52L607,KRA521165F85,미래L607LG에너지콜
52L609,KRA521167F83,미래L609LG화학콜
52L610,KRA521168F82,미래L610LG화학콜
52L611,KRA521269F80,미래L611LG화학풋
52L614,KRA521172F86,미래L614카카오콜
52L615,KRA521173F85,미래L615카카오콜
52L616,KRA521174F84,미래L616카카오콜
52L617,KRA521175F83,미래L617카카오콜
52L619,KRA521177F81,미래L619두산에너콜
52L620,KRA521178F80,미래L620두산에너콜
52L622,KRA521280F85,미래L622두산에너풋
52L627,KRA521185F81,미래L627한화솔루콜
52L628,KRA521186F80,미래L628한화솔루콜
52L630,KRA521188F88,미래L630KB금융콜
52L632,KRA521190F84,미래L632아모레콜
52L633,KRA521191F83,미래L633아모레콜
52L634,KRA521192F82,미래L634한국항공콜
52L635,KRA521193F81,미래L635하나금융콜
52L636,KRA521194F80,미래L636하나금융콜
52L638,KRA521196F88,미래L638한국전력콜
52L640,KRA521198F86,미래L640삼성물산콜
52L641,KRA521199F85,미래L641삼성물산콜
52L644,KRA5211A2F81,미래L644카카페이콜
52L646,KRA5211A4F89,미래L646현대건설콜
52L647,KRA5211A5F88,미래L647현대건설콜
52L648,KRA521101F90,미래L648삼성전자콜
52L649,KRA521102F99,미래L649삼성전자콜
52L650,KRA521103F98,미래L650삼성전자콜
52L651,KRA521104F97,미래L651삼성전자콜
52L652,KRA521105F96,미래L652삼성전자콜
52L653,KRA521106F95,미래L653삼성전자콜
52L654,KRA521107F94,미래L654삼성전자콜
52L655,KRA521108F93,미래L655삼성전자콜
52L656,KRA521209F91,미래L656삼성전자풋
52L657,KRA521110F99,미래L657POSCO홀콜
52L658,KRA521111F98,미래L658POSCO홀콜
52L659,KRA521112F97,미래L659POSCO홀콜
52L660,KRA521113F96,미래L660POSCO홀콜
52L661,KRA521114F95,미래L661POSCO홀콜
52L662,KRA521115F94,미래L662POSCO홀콜
52L663,KRA521116F93,미래L663POSCO홀콜
52L664,KRA521117F92,미래L664네이버콜
52L665,KRA521118F91,미래L665네이버콜
52L666,KRA521119F90,미래L666네이버콜
52L667,KRA521120F97,미래L667네이버콜
52L668,KRA521121F96,미래L668네이버콜
52L669,KRA521122F95,미래L669네이버콜
52L670,KRA521123F94,미래L670셀트리온콜
52L671,KRA521124F93,미래L671셀트리온콜
52L672,KRA521125F92,미래L672셀트리온콜
52L673,KRA521126F91,미래L673셀트리온콜
52L674,KRA521127F90,미래L674셀트리온콜
52L675,KRA521128F99,미래L675셀트리온콜
52L676,KRA521129F98,미래L676셀트리온콜
52L677,KRA521130F95,미래L677한국전력콜
52L678,KRA521131F94,미래L678한국전력콜
52L679,KRA521132F93,미래L679한국전력콜
52L680,KRA521133F92,미래L680한국전력콜
52L681,KRA521134F91,미래L681한국전력콜
52L682,KRA521135F90,미래L682한국전력콜
52L683,KRA521136F99,미래L683하이브콜
