info_type,short_code,std_code,name
1,|101W12|K,R4101WC0003|,F 202512| |00000.00|1|2001|KOSPI200
7,|104W12|K,R4104WC0000|,변동성F 202512| |00000.00|1|0503|VKOSPI
B,|105W12|K,R4105WC0009|,미니F 202512| |00000.00|1|2001|KOSPI200
3,|106W12|K,R4106WC0008|,코스닥150F 202512| |00000.00|1|3003|KSQ1
H,|108W12|K,R4108WC0006|,KRX300F 202512| |00000.00|1|4300|KRX 300
9,|1A0W12|K,R41A0WC0002|,에너지화학F 202512| |00000.00|1|2012|K에
9,|1A1W12|K,R41A1WC0001|,정보기술F 202512| |00000.00|1|2013|K정보
9,|1A2W12|K,R41A2WC0000|,금융F 202512| |00000.00|1|2014|K금융
9,|1A3W12|K,R41A3WC0009|,경기소비재F 202512| |00000.00|1|2016|K경
9,|1A4W12|K,R41A4WC0008|,고배당50   F 202512| |00000.00|1|0163|고
9,|1A5W12|K,R41A5WC0007|,배당성장50 F 202512| |00000.00|1|0164|배
9,|1A6W12|K,R41A6WC0006|,건설F 202512| |00000.00|1|2009|K건설
9,|1A7W12|K,R41A7WC0005|,중공업F 202512| |00000.00|1|2010|K중공업
9,|1A8W12|K,R41A8WC0004|,헬스케어F 202512| |00000.00|1|2018|K헬스
9,|1A9W12|K,R41A9WC0003|,철강소재   F 202512| |00000.00|1|2011|K
9,|1AAW12|K,R41AAWC0000|,생활소비재 F 202512| |00000.00|1|2015|K
9,|1ABW12|K,R41ABWC0009|,산업재     F 202512| |00000.00|1|2017|K
9,|1ACW12|K,R41ACWC0008|,BBIG           F 202512| |00000.00|1|441
9,|1ADW12|K,R41ADWC0007|,2차전지 TOP 10 F 202512| |00000.00|1|441
9,|1AEW12|K,R41AEWC0006|,바이오 TOP 10  F 202512| |00000.00|1|441
9,|1AGW12|K,R41AGWC0004|,코스닥글로벌 F 202512| |00000.00|1|1049|
9,|1AHW12|K,R41AHWC0003|,코리아밸류업 F 202512| |00000.00|1|4446|
9,|1ALW12|K,R41ALWC0007|,반도체F 202512| |00000.00|1|4003|KRX 반
2,|401W1201,|KR4401WC63S,4|SP 2512-2603| |00000.00|1|2001|KOSPI20
2,|401W1202,|KR4401WC66S,7|SP 2512-2606| |00000.00|1|2001|KOSPI20
2,|401W1203,|KR4401WC69S,1|SP 2512-2609| |00000.00|1|2001|KOSPI20
2,|401W1204,|KR4401WC6CS,3|SP 2512-2612| |00000.00|1|2001|KOSPI20
2,|401W1205,|KR4401WC76S,6|SP 2512-2706| |00000.00|1|2001|KOSPI20
2,|401W1206,|KR4401WC7CS,1|SP 2512-2712| |00000.00|1|2001|KOSPI20
8,|404W1201,|KR4404WC61S,2|변동성SP 2512-2601| |00000.00|1|0503|V
8,|404W1202,|KR4404WC62S,0|변동성SP 2512-2602| |00000.00|1|0503|V
8,|404W1203,|KR4404WC63S,8|변동성SP 2512-2603| |00000.00|1|0503|V
8,|404W1204,|KR4404WC64S,6|변동성SP 2512-2604| |00000.00|1|0503|V
8,|404W1205,|KR4404WC65S,3|변동성SP 2512-2605| |00000.00|1|0503|V
C,|405W1201,|KR4405WC61S,9|미니SP 2512-2601| |00000.00|1|2001|KOS
C,|405W1202,|KR4405WC62S,7|미니SP 2512-2602| |00000.00|1|2001|KOS
C,|405W1203,|KR4405WC63S,5|미니SP 2512-2603| |00000.00|1|2001|KOS
C,|405W1204,|KR4405WC64S,3|미니SP 2512-2604| |00000.00|1|2001|KOS
C,|405W1205,|KR4405WC65S,0|미니SP 2512-2605| |00000.00|1|2001|KOS
4,|406W1201,|KR4406WC63S,3|코스닥150SP 2512-2603| |00000.00|1|300
4,|406W1202,|KR4406WC66S,6|코스닥150SP 2512-2606| |00000.00|1|300
4,|406W1203,|KR4406WC69S,0|코스닥150SP 2512-2609| |00000.00|1|300
4,|406W1204,|KR4406WC6CS,8|코스닥150SP 2512-2612| |00000.00|1|300
4,|406W1205,|KR4406WC76S,5|코스닥150SP 2512-2706| |00000.00|1|300
4,|406W1206,|KR4406WC7CS,6|코스닥150SP 2512-2712| |00000.00|1|300
I,|408W1201,|KR4408WC63S,9|KRX300SP 2512-2603| |00000.00|1|4300|K
I,|408W1202,|KR4408WC66S,2|KRX300SP 2512-2606| |00000.00|1|4300|K
I,|408W1203,|KR4408WC69S,6|KRX300SP 2512-2609| |00000.00|1|4300|K
A,|4A0W1201,|KR44A0WC63S,8|에너지화학SP 2512-2603| |00000.00|1|20
A,|4A0W1202,|KR44A0WC66S,1|에너지화학SP 2512-2606| |00000.00|1|20
A,|4A0W1203,|KR44A0WC69S,5|에너지화학SP 2512-2609| |00000.00|1|20
A,|4A1W1201,|KR44A1WC63S,6|정보기술SP 2512-2603| |00000.00|1|2013
A,|4A1W1202,|KR44A1WC66S,9|정보기술SP 2512-2606| |00000.00|1|2013
A,|4A1W1203,|KR44A1WC69S,3|정보기술SP 2512-2609| |00000.00|1|2013
A,|4A2W1201,|KR44A2WC63S,4|금융SP 2512-2603| |00000.00|1|2014|K금
A,|4A2W1202,|KR44A2WC66S,7|금융SP 2512-2606| |00000.00|1|2014|K금
