info_type,short_code,std_code,name
1,|10AW12|K,R410AWC0001|,TKG휴켐스  F 202512 (  10)| |00000.00|1|
1,|10BW12|K,R410BWC0000|,녹십자홀딩 F 202512 (  10)| |00000.00|1|
1,|10CW12|K,R410CWC0009|,대웅       F 202512 (  10)| |00000.00|1|
1,|10DW12|K,R410DWC0008|,더블유게임 F 202512 (  10)| |00000.00|1|
1,|10EW12|K,R410EWC0007|,동원시스템 F 202512 (  10)| |00000.00|1|
1,|10FW12|K,R410FWC0006|,두산로보틱 F 202512 (  10)| |00000.00|1|
1,|10HW12|K,R410HWC0004|,롯데웰푸드 F 202512 (  10)| |00000.00|1|
1,|10KW12|K,R410KWC0009|,삼양식품   F 202512 (  10)| |00000.00|1|
1,|10LW12|K,R410LWC0008|,세방전지   F 202512 (  10)| |00000.00|1|
1,|10MW12|K,R410MWC0007|,세아베스틸 F 202512 (  10)| |00000.00|1|
1,|10NW12|K,R410NWC0006|,세아제강지 F 202512 (  10)| |00000.00|1|
1,|10PW12|K,R410PWC0004|,영원무역홀 F 202512 (  10)| |00000.00|1|
1,|10QW12|K,R410QWC0003|,영풍       F 202512 (  10)| |00000.00|1|
1,|10RW12|K,R410RWC0002|,오리온홀딩 F 202512 (  10)| |00000.00|1|
1,|10SW12|K,R410SWC0001|,율촌화학   F 202512 (  10)| |00000.00|1|
1,|10TW12|K,R410TWC0000|,이수스페셜 F 202512 (  10)| |00000.00|1|
1,|10XW12|K,R410XWC0004|,풍산       F 202512 (  10)| |00000.00|1|
1,|10YW12|K,R410YWC0003|,한국앤컴퍼 F 202512 (  10)| |00000.00|1|
1,|10ZW12|K,R410ZWC0002|,한미반도체 F 202512 (  10)| |00000.00|1|
1,|111W12|K,R4111WC0001|,삼성전자   F 202512 (  10)| |00000.00|1|
1,|112W12|K,R4112WC0000|,SK텔레콤   F 202512 (  10)| |00000.00|1|
1,|113W12|K,R4113WC0009|,POSCO 홀딩 F 202512 (  10)| |00000.00|1|
1,|114W12|K,R4114WC0008|,KT         F 202512 (  10)| |00000.00|1|
1,|115W12|K,R4115WC0007|,한국전력   F 202512 (  10)| |00000.00|1|
1,|116W12|K,R4116WC0006|,현대차     F 202512 (  10)| |00000.00|1|
1,|117W12|K,R4117WC0005|,삼성증권   F 202512 (  10)| |00000.00|1|
1,|118W12|K,R4118WC0004|,신한지주   F 202512 (  10)| |00000.00|1|
1,|119W12|K,R4119WC0003|,기아       F 202512 (  10)| |00000.00|1|
1,|11AW12|K,R411AWC0000|,한일시멘트 F 202512 (  10)| |00000.00|1|
3,|11BW12|K,R411BWC0009|,HPSP       F 202512 (  10)| |00000.00|1|
3,|11CW12|K,R411CWC0008|,SOOP       F 202512 (  10)| |00000.00|1|
3,|11DW12|K,R411DWC0007|,더블유씨피 F 202512 (  10)| |00000.00|1|
3,|11EW12|K,R411EWC0006|,동국제약   F 202512 (  10)| |00000.00|1|
3,|11FW12|K,R411FWC0005|,두산테스나 F 202512 (  10)| |00000.00|1|
3,|11GW12|K,R411GWC0004|,솔브레인홀 F 202512 (  10)| |00000.00|1|
3,|11HW12|K,R411HWC0003|,심텍       F 202512 (  10)| |00000.00|1|
3,|11JW12|K,R411JWC0001|,아이티엠반 F 202512 (  10)| |00000.00|1|
3,|11KW12|K,R411KWC0008|,에코프로에 F 202512 (  10)| |00000.00|1|
1,|11LW12|K,R411LWC0007|,미원상사   F 202512 (  10)| |00000.00|1|
3,|11MW12|K,R411MWC0006|,코미코     F 202512 (  10)| |00000.00|1|
3,|11NW12|K,R411NWC0005|,포스코엠텍 F 202512 (  10)| |00000.00|1|
1,|11QW12|K,R411QWC0002|,에이피알   F 202512 (  10)| |00000.00|1|
1,|11RW12|K,R411RWC0001|,한화비전   F 202512 (  10)| |00000.00|1|
1,|11SW12|K,R411SWC0000|,효성중공업 F 202512 (  10)| |00000.00|1|
1,|11TW12|K,R411TWC0009|,DN오토모티 F 202512 (  10)| |00000.00|1|
1,|11VW12|K,R411VWC0005|,HD현대마린 F 202512 (  10)| |00000.00|1|
1,|11WW12|K,R411WWC0004|,동원산업   F 202512 (  10)| |00000.00|1|
1,|11XW12|K,R411XWC0003|,미원에스씨 F 202512 (  10)| |00000.00|1|
1,|11YW12|K,R411YWC0002|,지역난방공 F 202512 (  10)| |00000.00|1|
1,|11ZW12|K,R411ZWC0001|,태광산업   F 202512 (  10)| |00000.00|1|
1,|120W12|K,R4120WC0000|,현대모비스 F 202512 (  10)| |00000.00|1|
1,|122W12|K,R4122WC0008|,삼성SDI    F 202512 (  10)| |00000.00|1|
1,|123W12|K,R4123WC0007|,삼성전기   F 202512 (  10)| |00000.00|1|
1,|124W12|K,R4124WC0006|,LG전자     F 202512 (  10)| |00000.00|1|
1,|128W12|K,R4128WC0002|,한국가스   F 202512 (  10)| |00000.00|1|
