short_code,std_code,name
012210,KR7012210001,삼미금속
052960,KR7052960002,태양3C
066830,KR7066830001,제노텍
076340,KR7076340009,지에이이노더스
086220,KR7086220001,광동헬스바이오
092590,KR7092590009,럭스피아
093510,KR7093510006,엔지브이아이
102950,KR7102950003,아하
103660,KR7103660007,씨앗
112190,KR7112190004,KC산업
114920,KR7114920002,대주이엔티
116100,KR7116100009,태양기계
121060,KR7121060008,유니포인트
122830,KR7122830003,원포유
136660,KR7136660008,큐엠씨
140610,KR7140610007,엔솔바이오사이언스
140660,KR7140660002,위월드
149010,KR7149010001,아이케이세미콘
149300,KR7149300006,아퓨어스
162120,KR7162120000,루켄테크놀러지스
169670,KR7169670007,코스텍시스템
176590,KR7176590008,코나솔
178600,KR7178600003,대동고려삼
179720,KR7179720008,머니무브
180060,KR7180060006,탑선
185190,KR7185190006,수프로
189350,KR7189350002,코셋
191600,KR7191600006,블루탑
199150,KR7199150004,데이터스트림즈
199290,KR7199290008,바이오프로테크
200580,KR7200580009,메디쎄이
202960,KR7202960001,판도라티비
206950,KR7206950008,볼빅
207490,KR7207490004,에이펙스인텍
208850,KR7208850008,이비테크
208890,KR7208890004,미래엔에듀파트너
212310,KR7212310007,오건에코텍
215570,KR7215570003,크로넥스
216400,KR7216400002,인바이츠바이오코아
217320,KR7217320001,썬테크
217880,KR7217880004,틸론
217910,KR7217910009,에스제이켐
217950,KR7217950005,파마리서치바이오
222670,KR7222670002,플럼라인생명과학
223220,KR7223220005,로지스몬
224760,KR7224760009,엔에스컴퍼니
224810,KR7224810002,엄지하우스
227420,KR7227420007,도부
229500,KR7229500004,노브메타파마
232530,KR7232530006,이엠티
233250,KR7233250000,메디안디노스틱
233990,KR7233990001,질경이
234070,KR7234070001,에이원알폼
236030,KR7236030003,씨알푸드
236340,KR7236340006,메디젠휴먼케어
238170,KR7238170005,엔에스엠
238500,KR7238500003,로보쓰리에이아이
243870,KR7243870003,아이티센코어
244880,KR7244880001,나눔테크
245450,KR7245450002,씨앤에스링크
250030,KR7250030004,진코스텍
251280,KR7251280004,안지오랩
253610,KR7253610000,루트락
254160,KR7254160005,제이엠멀티
257990,KR7257990002,나우코스
258050,KR7258050004,테크트랜스
260870,KR7260870001,SK시그넷
266170,KR7266170000,뿌리깊은나무들
266350,KR7266350008,팡스카이
266470,KR7266470004,바이오인프라생명과학
266870,KR7266870005,파워풀엑스
267080,KR7267080000,세븐브로이맥주
270210,KR7270210008,에스알바이오텍
276240,KR7276240009,엘리비젼
278990,KR7278990007,EMB
279060,KR7279060008,이노벡스
288490,KR7288490006,나라소프트
289170,KR7289170003,바이오텐
296160,KR7296160005,프로젠
296520,KR7296520000,가이아코퍼레이션
299480,KR7299480004,지앤이헬스케어
302920,KR7302920004,더콘텐츠온
308700,KR7308700004,테크엔
311060,KR7311060008,엘에이티
311960,KR7311960009,인터로이드
317860,KR7317860005,노드메이슨
318660,KR7318660008,타임기술
322970,KR7322970005,무진메디
327610,KR7327610002,펨토바이오메드
331660,KR7331660001,한국미라클피플사
332190,KR7332190008,오션스바이오
336040,KR7336040001,타스컴
337840,KR7337840003,유엑스엔
341170,KR7341170009,퓨쳐메디신
341310,KR7341310001,이앤에치
343090,KR7343090007,HLB사이언스
346010,KR7346010002,타이드
351020,KR7351020003,미쥬
354390,KR7354390007,바스칸바이오제약
368030,KR7368030003,창대정밀
379390,KR7379390008,이성씨엔아이
390110,KR7390110005,애니메디솔루션
402420,KR7402420004,켈스
403360,KR7403360001,라피치
403810,KR7403810005,아이엘커누스
413300,KR7413300005,티엘엔지니어링
434190,KR7434190005,탈로스
446440,KR7446440000,에피바이오텍
447690,KR7447690009,아이오바이오
448780,KR7448780007,마이크로엔엑스
456190,KR7456190008,큐라켐
456570,KR7456570001,아이엠지티
456700,KR7456700004,길교이앤씨
476710,KR7476710009,타조이엔터테인먼트
495810,KR7495810004,유비씨
495900,KR7495900003,에이엠시지
496320,KR7496320003,본시스템즈
