short_code,std_code,name
000250,KR7000250001,삼천당제약
000440,KR7000440008,중앙에너비스
003380,KR7003380003,하림지주
005290,KR7005290002,동진쎄미켐
006730,KR7006730006,서부T&D
007390,KR7007390008,네이처셀
008830,KR7008830002,대동기어
012700,KR7012700001,리드코프
014620,KR7014620009,성광벤드
018290,KR7018290007,브이티
019210,KR7019210004,와이지-원
025320,KR7025320003,시노펙스
025770,KR7025770009,한국정보통신
025900,KR7025900002,동화기업
025950,KR7025950007,동신건설
028300,KR7028300002,HLB
030520,KR7030520001,한글과컴퓨터
030960,KR7030960009,양지사
031980,KR7031980006,피에스케이홀딩스
032190,KR7032190001,다우데이타
032300,KR7032300006,한국파마
032500,KR7032500001,케이엠더블유
033100,KR7033100009,제룡전기
033160,KR7033160003,엠케이전자
033500,KR7033500000,동성화인텍
033640,KR7033640004,네패스
034950,KR7034950006,한국기업평가
035080,KR7035080001,그래디언트
035760,KR7035760008,CJ ENM
035900,KR7035900000,JYP Ent.
036540,KR7036540003,SFA반도체
036560,KR7036560001,KZ정밀
036810,KR7036810000,에프에스티
036830,KR7036830008,솔브레인홀딩스
036890,KR7036890002,진성티이씨
036930,KR7036930006,주성엔지니어링
039030,KR7039030002,이오테크닉스
039200,KR7039200001,오스코텍
039440,KR7039440003,에스티아이
041190,KR7041190000,우리기술투자
041440,KR7041440009,현대에버다임
041510,KR7041510009,에스엠
042000,KR7042000000,카페24
044490,KR7044490001,태웅
045660,KR7045660008,에이텍
046890,KR7046890000,서울반도체
047560,KR7047560008,이스트소프트
047920,KR7047920004,HLB제약
048410,KR7048410005,현대바이오
048430,KR7048430003,유라테크
049070,KR7049070006,인탑스
051360,KR7051360006,토비스
053030,KR7053030003,바이넥스
053080,KR7053080008,케이엔솔
053580,KR7053580007,웹케시
053610,KR7053610002,프로텍
053800,KR7053800009,안랩
056190,KR7056190002,에스에프에이
058470,KR7058470006,리노공업
058610,KR7058610007,에스피지
058970,KR7058970005,엠로
060250,KR7060250008,NHN KCP
060280,KR7060280005,큐렉소
063080,KR7063080006,컴투스홀딩스
064550,KR7064550007,바이오니아
064760,KR7064760002,티씨케이
065350,KR7065350001,신성델타테크
065710,KR7065710006,서호전기
067080,KR7067080002,대화제약
067160,KR7067160002,SOOP
068760,KR7068760008,셀트리온제약
069080,KR7069080000,웹젠
074600,KR7074600008,원익QnC
078140,KR7078140001,대봉엘에스
078160,KR7078160009,메디포스트
078340,KR7078340007,컴투스
078600,KR7078600004,대주전자재료
079370,KR7079370003,제우스
080220,KR7080220007,제주반도체
081180,KR7081180002,쎄크
082270,KR7082270000,젬백스
082920,KR7082920000,비츠로셀
083450,KR7083450007,GST
084110,KR7084110006,휴온스글로벌
084370,KR7084370006,유진테크
084850,KR7084850007,아이티엠반도체
085660,KR7085660009,차바이오텍
086450,KR7086450004,동국제약
086710,KR7086710001,선진뷰티사이언스
086820,KR7086820008,바이오솔루션
086900,KR7086900008,메디톡스
087010,KR7087010005,펩트론
089030,KR7089030001,테크윙
091120,KR7091120006,이엠텍
091700,KR7091700005,파트론
094170,KR7094170008,동운아나텍
094360,KR7094360005,칩스앤미디어
094820,KR7094820008,일진파워
095340,KR7095340006,ISC
095500,KR7095500005,미래나노텍
095610,KR7095610002,테스
095660,KR7095660007,네오위즈
096530,KR7096530001,씨젠
099190,KR7099190001,아이센스
099320,KR7099320004,쎄트렉아이
100790,KR7100790005,미래에셋벤처투자
101160,KR7101160000,월덱스
101360,KR7101360006,에코앤드림
101490,KR7101490001,에스앤에스텍
101730,KR7101730000,위메이드맥스
101970,KR7101970002,우양에이치씨
102710,KR7102710001,이엔에프테크놀로지
107640,KR7107640005,한중엔시에스
108860,KR7108860008,셀바스AI
112040,KR7112040001,위메이드
112290,KR7112290002,와이씨켐
114840,KR7114840002,아이패밀리에스씨
115450,KR7115450009,HLB테라퓨틱스
115500,KR7115500001,케이씨에스
118990,KR7118990001,모트렉스
119610,KR7119610004,인터로조
121600,KR7121600001,나노신소재
122640,KR7122640006,예스티
122870,KR7122870009,와이지엔터테인먼트
123330,KR7123330003,제닉
125020,KR7125020008,티씨머티리얼즈
126700,KR7126700004,하이비젼시스템
131290,KR7131290009,티에스이
131970,KR7131970006,두산테스나
137400,KR7137400008,피엔티
138610,KR7138610001,나이벡
140410,KR7140410002,메지온
140860,KR7140860008,파크시스템스
141080,KR7141080002,리가켐바이오
144510,KR7144510005,지씨셀
145020,KR7145020004,휴젤
145170,KR7145170007,노브랜드
147830,KR7147830004,제룡산업
160190,KR7160190005,하이젠알앤엠
161580,KR7161580006,필옵틱스
163280,KR7163280001,에어레인
166090,KR7166090001,하나머티리얼즈
168360,KR7168360006,펨트론
171090,KR7171090004,선익시스템
176750,KR7176750008,듀켐바이오
178320,KR7178320008,서진시스템
179290,KR7179290002,엠아이텍
179900,KR7179900006,유티아이
182360,KR7182360008,큐브엔터
183300,KR7183300003,코미코
189300,KR7189300007,인텔리안테크
194480,KR7194480000,데브시스터즈
194700,KR7194700001,노바렉스
195940,KR7195940002,HK이노엔
196170,KR7196170005,알테오젠
199800,KR7199800004,툴젠
200130,KR7200130003,콜마비앤에이치
200350,KR7200350007,아티스트스튜디오
