as_of_date,etf_code,stck_shrn_iscd,hts_kor_isnm,stck_prpr,stck_prpr_float,etf_vltn_amt,etf_vltn_amt_float,weight,prdy_vrss,prdy_vrss_sign,prdy_ctrt,acml_vol,acml_tr_pbmn,tday_rsfl_rate,prdy_vrss_vol,tr_pbmn_tnrt,hts_avls,etf_cnfg_issu_avls,etf_cnfg_issu_rlim,prdt_name,std_idst_clsf_cd_name,lstg_stqt,lstg_stqt_float,market_cap,size_bucket
2025-11-28,069500,005930,삼성전자,100500,100500.0,736402500,736402500.0,0.27351662029392093,-3000,5,-2.90,14541800,1473001159000,3.19,-1911204,0.25,5949236,715057500,25.73,삼성전자보통주,통신 및 방송 장비 제조업,5919637922,5919637922.0,594923611161000.0,Large
2025-11-28,069500,000660,SK하이닉스,530000,530000.0,464032000,464032000.0,0.17235202806648361,-14000,5,-2.57,2632049,1410426812000,4.04,-1022043,0.37,3858413,452090000,16.27,에스케이하이닉스보통주,반도체 제조업,728002365,728002365.0,385841253450000.0,Large
2025-11-28,069500,105560,KB금융,124800,124800.0,60984100,60984100.0,0.022650880359133086,1100,2,0.89,677956,84464615250,1.70,136920,0.18,476065,61526400,2.21,KB금융지주 보통주,기타 금융업,381462103,381462103.0,47606470454400.0,Large
2025-11-28,069500,005380,현대차,261500,261500.0,53869000,53869000.0,0.02000817055701634,0,3,0.00,497272,130232158750,2.49,208211,0.24,535442,53869000,1.94,현대자동차보통주,자동차용 엔진 및 자동차 제조업,204757766,204757766.0,53544155809000.0,Large
2025-11-28,069500,034020,두산에너빌리티,76400,76400.0,50672800,50672800.0,0.018821029256187744,-1200,5,-1.55,2094782,160714783300,2.19,-1106424,0.33,489389,49889200,1.79,두산에너빌리티보통주,일반 목적용 기계 제조업,640561146,640561146.0,48938871554400.0,Large
2025-11-28,069500,055550,신한지주,78000,78000.0,49720500,49720500.0,0.01846732339898886,-300,5,-0.38,1007627,78518830750,1.79,361271,0.21,378686,49530000,1.78,신한금융지주회사보통주,기타 금융업,485494934,485494934.0,37868604852000.0,Large
2025-11-28,069500,035420,NAVER,244000,244000.0,49294000,49294000.0,0.018308911608486578,-7500,5,-2.98,1580887,388913845750,4.17,-447663,1.02,382720,47824000,1.72,NAVER보통주,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",156852638,156852638.0,38272043672000.0,Large
2025-11-28,069500,012450,한화에어로스페이스,852000,852000.0,45739000,45739000.0,0.01698850383536673,-11000,5,-1.27,191650,162170455500,3.48,-6987,0.37,439320,45156000,1.62,한화에어로스페이스보통주,"항공기,우주선 및 부품 제조업",51563401,51563401.0,43932017652000.0,Large
2025-11-28,069500,068270,셀트리온,185600,185600.0,43522000,43522000.0,0.016165059662931653,400,2,0.22,462815,85806855700,1.62,83726,0.20,428664,43616000,1.57,셀트리온보통주,기초 의약물질 및 생물학적 제제 제조업,230960969,230960969.0,42866355846400.0,Large
2025-11-28,069500,000270,기아,114100,114100.0,42294000,42294000.0,0.015708952561555793,100,2,0.09,609629,69470546150,2.11,131671,0.16,445461,42331100,1.52,기아보통주,자동차용 엔진 및 자동차 제조업,390412998,390412998.0,44546123071800.0,Large
