sector,weight_sum,as_of_date,etf_code
1차 비철금속 제조업,0.004429215947807085,2025-11-28,069500
1차 철강 제조업,0.013644956501013742,2025-11-28,069500
"건축기술, 엔지니어링 및 관련기술 서비스업",0.0022902667821692283,2025-11-28,069500
고무제품 제조업,0.0024169590722989557,2025-11-28,069500
그외 기타 개인 서비스업,0.0027714449172119185,2025-11-28,069500
금융지원 서비스업,0.009967574425034842,2025-11-28,069500
기초 의약물질 및 생물학적 제제 제조업,0.025335486644177518,2025-11-28,069500
기초화학물질 제조업,0.013146692920805506,2025-11-28,069500
기타 금융업,0.13141626714891202,2025-11-28,069500
기타 운송관련 서비스업,0.0034257060402360004,2025-11-28,069500
기타 전문 도매업,0.01315560706610927,2025-11-28,069500
기타 화학제품 제조업,0.009770014679740202,2025-11-28,069500
담배 제조업,0.0072739425678703526,2025-11-28,069500
동물용 사료 및 조제식품 제조업,0.004530502923821089,2025-11-28,069500
무기 및 총포탄 제조업,0.002893382996512972,2025-11-28,069500
반도체 제조업,0.17235202806648361,2025-11-28,069500
보험업,0.018749121817404058,2025-11-28,069500
상품 종합 도매업,0.0011521532805113272,2025-11-28,069500
상품 중개업,0.0013987779672487617,2025-11-28,069500
석유 정제품 제조업,0.006703548695245837,2025-11-28,069500
선박 및 보트 건조업,0.02472457055269298,2025-11-28,069500
소프트웨어 개발 및 공급업,0.006245473053448732,2025-11-28,069500
오디오물 출판 및 원판 녹음업,0.0035359443038258656,2025-11-28,069500
유원지 및 기타 오락관련 서비스업,0.001147614494860828,2025-11-28,069500
은행 및 저축기관,0.0072477015526324,2025-11-28,069500
의약품 제조업,0.0057322411375845955,2025-11-28,069500
일반 목적용 기계 제조업,0.01999725072901923,2025-11-28,069500
일차전지 및 축전지 제조업,0.024515942410312835,2025-11-28,069500
자동차 부품 제조업,0.010631232542899974,2025-11-28,069500
자동차용 엔진 및 자동차 제조업,0.035717123118572135,2025-11-28,069500
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",0.029661967067358734,2025-11-28,069500
자연과학 및 공학 연구개발업,0.002169925820568432,2025-11-28,069500
전기업,0.009233605986086283,2025-11-28,069500
전기통신업,0.013085211317800013,2025-11-28,069500
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0.019440265216622458,2025-11-28,069500
전자부품 제조업,0.01382613650431272,2025-11-28,069500
절연선 및 케이블 제조업,0.0014080635352735143,2025-11-28,069500
정기 항공 운송업,0.0031335449279051783,2025-11-28,069500
철도장비 제조업,0.007388043627758515,2025-11-28,069500
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0.0036471482664903053,2025-11-28,069500
토목 건설업,0.0027122772777581935,2025-11-28,069500
통신 및 방송 장비 제조업,0.27871861835502004,2025-11-28,069500
특수 목적용 기계 제조업,0.004594981908184971,2025-11-28,069500
"항공기,우주선 및 부품 제조업",0.02131643280715981,2025-11-28,069500
해상 운송업,0.0033450330252369482,2025-11-28,069500
